Хозяева,Гости,Голы хозяев,Голы гостей,Владение мячом хозяев,Владение мячом гостей,Удары по воротам хозяев,Удары по воротам гостей,Удары в створ хозяев,Удары в створ гостей,Удары мимо хозяев,Удары мимо гостей,Заблокированные удары хозяев,Заблокированные удары гостей,Сэйвы хозяев,Сэйвы гостей,Фолы хозяев,Фолы гостей,Угловые удары хозяев,Угловые удары гостей,Штрафные удары хозяев,Штрафные удары гостей,Вне игры хозяев,Вне игры гостей,Удары от ворот хозяев,Удары от ворот гостей,Автоголы хозяев,Автоголы гостей,Забитые пенальти хозяев,Забитые пенальти гостей,Незабитые пенальти хозяев,Незабитые пенальти гостей,Вбрасывания хозяев,Вбрасывания гостей
ФК Бавария,Герта, 2 , 2 ,62%,38%,15,5,9,3,6,2,6,1,1,7,7,18,12,0,18,9,2,0,6,11,0,0,1,0,0,0,31,17
Боруссия Д,Аугсбург, 5 , 1 ,72%,28%,20,4,10,1,10,3,3,0,0,5,9,7,10,0,7,9,0,0,4,16,0,0,0,0,0,0,30,14
Байер,Падерборн, 3 , 2 ,69%,31%,8,7,4,5,4,2,1,2,3,1,8,9,6,6,9,11,3,0,8,9,0,0,0,0,0,0,33,27
Боруссия М,Шальке-04, 0 , 0 ,55%,45%,11,5,4,1,7,4,2,2,1,4,10,11,8,3,13,11,1,2,6,9,0,0,0,0,0,0,29,23
Вольфсбург,Кёльн, 2 , 1 ,51%,49%,9,6,6,2,3,4,7,2,1,4,15,18,2,6,19,18,3,1,8,5,0,0,0,0,0,0,26,35
Айнтрахт Ф,Хоффенхайм, 1 , 0 ,46%,54%,12,5,7,1,5,4,4,3,1,6,18,10,10,5,14,21,3,4,6,7,0,0,0,0,0,0,28,16
Вердер,Фортуна, 1 , 3 ,67%,33%,18,9,12,6,6,3,3,1,3,11,11,12,14,5,13,13,2,1,8,6,0,0,0,0,0,0,22,13
Фрайбург,Майнц, 3 , 0 ,53%,47%,17,12,8,5,9,7,1,7,5,5,6,15,5,5,17,6,0,2,9,15,0,0,1,0,0,0,26,12
Унион Берлин,РБ Лейпциг, 0 , 4 ,43%,57%,5,13,2,9,3,4,4,0,5,2,15,7,3,6,8,18,3,1,6,7,0,0,0,0,0,0,22,26
РБ Лейпциг,Айнтрахт Ф, 2 , 1 ,45%,55%,7,8,5,5,2,3,4,2,4,3,10,13,4,1,16,11,1,3,7,6,0,0,0,0,0,0,26,20
Хоффенхайм,Вердер, 3 , 2 ,54%,46%,6,8,3,5,3,3,3,8,3,0,13,17,3,6,18,18,5,1,5,6,0,0,0,0,0,0,20,24
Фортуна,Байер, 1 , 3 ,34%,66%,8,9,5,7,3,2,2,1,5,4,14,10,1,5,11,15,1,1,12,4,1,0,0,0,0,0,22,25
Герта,Вольфсбург, 0 , 3 ,55%,45%,4,7,2,4,2,3,1,1,1,2,13,16,2,5,21,14,1,5,5,12,0,0,0,1,0,0,26,20
Майнц,Боруссия М, 1 , 3 ,44%,56%,13,8,4,6,9,2,3,3,3,3,12,15,3,5,15,13,1,0,3,14,0,0,0,0,0,0,20,21
Шальке-04,ФК Бавария, 0 , 3 ,34%,66%,6,9,2,6,4,3,2,1,3,2,11,10,3,4,11,13,2,1,6,9,0,0,0,1,0,0,17,22
Аугсбург,Унион Берлин, 1 , 1 ,52%,48%,11,10,4,4,7,6,1,4,2,3,15,19,3,4,21,18,3,2,8,13,0,0,0,0,0,0,23,20
Кёльн,Боруссия Д, 1 , 3 ,41%,59%,6,9,1,5,5,4,1,2,2,0,12,11,7,8,12,14,2,1,6,5,0,0,0,0,0,0,17,31
Падерборн,Фрайбург, 1 , 3 ,55%,45%,8,7,2,5,6,2,3,1,2,1,19,7,9,5,8,23,4,1,5,11,0,0,0,1,0,0,20,23
